Product ID,Product Name,Category,Subcategory,Price (INR),Monthly Units Sold,Total Revenue (INR)
BS001,Matte Muse Lipstick,Lips,Lipstick,299,2100,"627,900"
BS002,Candylicious Lip Gloss,Lips,Lip Gloss,249,1850,"460,650"
BS003,Drip Lip Mist,Lips,Lip Mist,299,1670,"499,330"
BS004,Edge of Desire Lip Liner,Lips,Lip Liner,199,1900,"378,100"
BS005,CineMagic Lip Gloss,Lips,Lip Gloss,349,1350,"471,150"
BS006,Cheek It Blush,Face,Blush,399,1420,"566,580"
BS007,Satin Finish Foundation,Face,Foundation,449,1550,"696,950"
BS008,Mars Brow Define Pencil,Eyes,Brow Pencil,199,1850,"368,150"
BS009,Bold Black Eyeliner,Eyes,Eyeliner,249,2000,"498,000"
BS010,24HR Stay Concealer,Face,Concealer,399,1250,"498,750"
BS011,Peachy Nude Eyeshadow Pal.,Eyes,Eyeshadow,449,1400,"628,600"
BS012,Velvet Matte Compact,Face,Compact,299,1600,"478,400"
BS013,High Impact Mascara,Eyes,Mascara,349,1320,"460,680"
BS014,Hydra Lock Primer,Face,Primer,399,1100,"438,900"
BS015,Glow Getter Highlighter,Face,Highlighter,449,900,"404,100"
BS016,Fix Me Setting Spray,Face,Setting Spray,349,1150,"400,350"
BS017,Chisel Contour Stick,Face,Contour Stick,299,1200,"358,800"
BS018,Glow Skin Serum,Face,Serum,499,950,"474,050"
BS019,Velvet Touch Kajal,Eyes,Kajal,199,2250,"447,750"
BS020,Flawless Base BB Cream,Face,BB Cream,399,1000,"399,000"
